group id,roi id,BrainID,SliceID
I,VTA,1,11
I,ACAd,5,2
I,ACAd,6,4
I,ACAd,6,5
I,AId,10,2
I,PL,9,1
I,ILA,3,1
I,BLA,8,7
I,LH,6,9
II,PVT,5,9
II,VTA,1,12
II,ACAd,3,7
II,ACAd,6,6
II,ACAd,7,6
II,ACAv,6,6
II,ACAv,7,6
II,ILA,5,2
II,BLA,5,9
II,BLA,7,9
II,CEA,8,9
II,DG,5,9
II,DG,6,9
II,DG,7,9
II,MH,5,9
II,PAG,5,12
III,PVT,7,9
III,ACB,3,4
III,ACB,11,4
III,ACB,2,4
III,VTA,2,1
III,ACAd,10,7
III,ACAv,4,4
III,ACAv,8,4
III,AId,1,5
III,AId,4,4
III,AIv,1,4
III,AIv,1,5
III,AIv,4,3
III,AIv,4,5
III,AIv,4,4
III,AIv,9,3
III,CLA,6,4
III,BLA,8,11
III,CEA,5,10
III,CEA,5,9
III,CP,3,7
III,CP,9,7
IV,PVT,7,11
IV,PVT,8,10
IV,PVT,8,11
IV,VTA,2,12
IV,VTA,3,12
IV,ACB,10,4
IV,ACB,12,6
IV,ACB,3,4
IV,ACB,3,6
IV,ACB,4,6
IV,ACB,5,4
IV,ACB,5,5
IV,ACB,7,5
IV,ACB,8,6
IV,VTA,3,12
IV,VTA,4,12
IV,VTA,6,12
IV,ACAd,12,7
IV,ACAd,3,6
IV,ACAd,3,7
IV,ACAd,4,7
IV,ACAd,5,3
IV,ACAd,6,7
IV,ACAd,9,6
IV,ACAd,9,7
IV,ACAv,5,4
IV,ACAv,6,6
IV,ACAv,9,6
IV,AId,5,3
IV,AIv,5,4
IV,AIv,5,5
IV,PL,3,2
IV,PL,5,1
IV,CLA,11,3
IV,CLA,5,3
IV,CLA,7,3
IV,CLA,7,4
IV,CLA,7,5
IV,BLA,4,9
IV,BLA,5,10
IV,BLA,6,10
IV,BLA,7,11
IV,BLA,8,10
IV,BLA,8,11
IV,BST,8,8
IV,CEA,12,10
IV,CEA,12,11
IV,CEA,4,9
IV,CEA,5,10
IV,CEA,5,9
IV,CEA,7,11
IV,CEA,8,10
IV,CEA,8,11
IV,CP,1,7
IV,CP,3,8
IV,CP,8,7
IV,CP,9,6
IV,DG,7,11
IV,DG,8,10
IV,DG,8,11
IV,LH,7,11
IV,LH,8,10
IV,LH,8,11
IV,MH,7,11
IV,MH,8,10
IV,MH,8,11
V,PVT,14,10
V,PVT,17,9
V,PVT,2,11
V,ACB,2,4
V,ACAd,8,3
V,ACAv,8,4
V,CLA,11,3
V,BLA,14,10
V,BLA,17,9
V,BLA,2,11
V,BST,17,8
V,CEA,16,10
V,CEA,16,11
V,CEA,17,10
V,CEA,2,11
V,CEA,9,9
V,CP,1,6
V,DG,17,9
V,DG,2,11
V,LH,2,11
V,MH,17,9
V,MH,2,11
V,PAG,17,12
V,PAG,6,14
VI,PVT,6,10
VI,VTA,12,12
VI,VTA,2,13
VI,VTA,2,14
VI,VTA,7,12
VI,VTA,7,13
VI,ACB,12,4
VI,ACB,16,6
VI,ACB,7,4
VI,VTA,2,13
VI,VTA,2,14
VI,ACAd,1,6
VI,ACAd,1,7
VI,PL,16,2
VI,CLA,9,3
VI,CP,6,5
VI,CP,6,9
VI,CP,7,4
VI,DG,7,9
II,PALv,7,8
III,PALv,10,7
III,PALv,2,7
III,PALv,3,7
IV,PALv,4,7
IV,PALv,8,7
IV,PALv,8,8
VI,PALv,1,7
VL,PALv,16,7
II,SNr,2,12
II,SNr,5,12
III,SNr,2,12
III,SNr,3,12
III,SNr,4,12
V,SNr,17,12
VI,SNr,6,14
II,SNc,5,12
II,SNc,7,12
III,SNc,2,12
III,SNc,3,12
III,SNc,9,12
V,SNc,17,12
VI,SNc,1,12
I,LHA,10,7
I,LHA,5,9
I,LHA,8,7
II,LHA,5,9
II,LHA,6,9
IV,LHA,7,11
IV,LHA,8,10
IV,LHA,8,11
V,LHA,17,9
V,LHA,2,11
I,GPe,8,7
II,GPe,2,9
II,GPe,5,9
IV,GPe,8,10
V,GPe,17,9
VI,GPe,14,9
VI,GPe,4,10
VI,GPe,6,10
I,GPi,5,9
II,GPi,5,9
IV,GPi,8,10
V,GPi,17,9
VI,GPi,14,10
VI,GPi,16,10
